_unit_id;_id;_created_at;_started_at;_worker_id;question_text;question_id;total_number_of_boxes;nothing-to-box;score-region/0;score-region/1;score-region/2;score-region/3;score-region/4;score-region/5;score-region/6;score-region/7;score-region/8;score-region/9;score-region/10;score-region/11;score-region/12;score-region/13;score-region/14;score-region/15;score-region/16;score-region/17;score-region/18;score-region/19;score-region/20;score-region/21;score-region/22;score-region/23;score-region/24;score-region/25;score-region/26;score-region/27;score-region/28;score-region/29;score-region/30;score-region/31;score-region/32;score-region/33;score-region/34;score-region/35;score-region/36;score-region/37;score-region/38;score-region/39;score-region/40;score-region/41;score-region/42;score-region/43;score-region/44;score-region/45;score-region/46;score-region/47;score-region/48;score-region/49;score-region/50;score-region/51;score-region/52;score-region/53;score-region/54;score-region/55;score-region/56;score-region/57;score-region/58;score-region/59;score-region/60;score-region/61;score-region/62;score-region/63;score-region/64
1408295994;2923230322;10/16/2017 09:03:06;10/16/2017 09:02:39;43672220;Why is the painting hanging here?;1;7;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1408295994;2923250668;10/16/2017 09:12:11;10/16/2017 09:11:14;27770607;Why is the painting hanging here?;1;7;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1408295994;2923318967;10/16/2017 09:45:31;10/16/2017 09:43:14;43734018;Why is the painting hanging here?;1;7;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1408295994;2923332193;10/16/2017 09:51:28;10/16/2017 09:50:45;43883861;Why is the painting hanging here?;1;7;0;1;0.16871523275531927;0.09977945361411497;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1408295994;2923479797;10/16/2017 11:02:02;10/16/2017 11:01:16;43943114;Why is the painting hanging here?;1;7;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1408295994;2923543657;10/16/2017 11:33:35;10/16/2017 11:33:06;43805225;Why is the painting hanging here?;1;7;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1408295994;2923595929;10/16/2017 11:53:06;10/16/2017 11:52:47;18985376;Why is the painting hanging here?;1;7;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1408295994;2923650695;10/16/2017 12:12:28;10/16/2017 12:10:35;38202325;Why is the painting hanging here?;1;7;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1408295994;2923729381;10/16/2017 12:45:22;10/16/2017 12:43:43;43891892;Why is the painting hanging here?;1;7;0;0.16871523275531927;1;0.019488555684379193;0;0;0;0.0017949123032659465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1408295994;2923751406;10/16/2017 12:54:00;10/16/2017 12:53:03;40176271;Why is the painting hanging here?;1;7;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
