orig_id,gold,hypothesis,text,uqs,uqs_initial,true,false,true_initial,false_initial
25,0,Two films won six Oscars.,"The film was the evening&apos;s big winner, bagging the prestigious best picture Oscar to bring its tally to six.",0.7549903595007982,0.6444444444444445,0.1251209387050547,0.8748790612949453,0.2,0.8
35,1,Saudi Arabia is the world&apos;s biggest oil exporter.,"Saudi Arabia, the biggest oil producer in the world, was once a supporter of Osama bin Laden and his associates who led attacks against the United States.",0.5290582449686762,0.4666666666666667,0.2997176092091783,0.7002823907908217,0.4,0.6
39,1,Bill Clinton received a reported $10 million advance.,"Mr. Clinton received a hefty advance for the book, reportedly $10m, but he joked that by the time he finished the 937-page tome &quot;I was just about down to minimum wage&quot;.",0.8770363902369,0.8,0.9419318412841425,0.058068158715857444,0.9,0.1
48,1,Clinton is articulate.,Clinton is a very charismatic person.,0.5264377189108536,0.4666666666666667,0.3026399726869528,0.6973600273130471,0.4,0.6
49,1,Argentina sees upsurge in kidnappings.,"Kidnappings in Argentina have increased more than fivefold in the last two years, official figures show.",1.0,1.0,1.0,0.0,1.0,0.0
75,1,Dow Jones is down.,"At the close, the Dow Jones industrial average was down 45 points, or 0.4 percent.",0.714745264847509,0.6444444444444445,0.8505228413566153,0.14947715864338457,0.8,0.2
82,1,Lakers win the championship.,"The Los Angeles Lakers won their 3rd straight NBA championship Wednesday night, beating the New Jersey Nets 113-107, sweeping that 4-game championship series.",0.8698628511425499,0.8,0.9381897222033868,0.061810277796613244,0.9,0.1
93,1,Drug sales increase.,The drugstore chain said cost cutting and a jump in prescription drug sales fueled its gains.,0.8607455004243653,0.8,0.9335652733827181,0.06643472661728188,0.9,0.1
101,1,White House ignores the threat of attack,The emerging historical record now shows White House officials downgraded threats from al Qaeda prior to 9/11 to focus on other priorities.,0.503817395285196,0.5333333333333333,0.6695323677677903,0.3304676322322095,0.7,0.3
103,0,White House ignores the threat of attack,The White House ignores Zinni&apos;s opposition to the Iraq War.,0.6623315115913377,0.5333333333333333,0.18454341396688043,0.8154565860331197,0.3,0.7
104,0,Immunity for soldiers renewed.,China delayed the Security Council vote on a controversial measure to extend the immunity of US peacekeeping troops from prosecution for war crimes.,0.5589875586092985,0.5333333333333333,0.26896150383974193,0.731038496160258,0.3,0.7
113,0,A request was reduced to $1.1 billion,"This request is comprised of $1.1 billion for traditional Active MILCON, $1.4 billion for Military Family Housing, $149.1 million for Air National Guard traditional MILCON and $53.7 million for Air Force Reserve traditional MILCON.",0.4837398057349847,0.4444444444444444,0.3587234171265887,0.6412765828734115,0.5,0.5
116,1,Anorexia strikes teens.,"Statistically, anorexia strikes more than one in every 100 teen-age girls and young women.",0.5604464911944598,0.5333333333333333,0.73289101344584,0.26710898655416,0.7,0.3
133,1,Virus infects thousands of computers,"An Internet-borne infection incapacitated tens of thousands of computers on Tuesday, snarling company networks and frustrating home users as it spread across the globe.",0.7583914874872548,0.6444444444444445,0.8772668638297328,0.12273313617026717,0.8,0.2
134,0,Virus infects thousands of computers.,The Bugbear virus infects computers running the Windows operating system and an unpatched version of Internet Explorer 5.5.,0.4735567634206382,0.4666666666666667,0.37649227603171004,0.62350772396829,0.4,0.6
136,0,Pesticides ruin fruits.,Excessive amounts of pesticides and chemical fertilizers may be poisoning huge tracts in India.,0.7500294455191595,0.6444444444444445,0.12751306880402422,0.8724869311959756,0.2,0.8
139,1,The ICC is the first permanent global criminal tribunal.,"The ICC, the first permanent global criminal tribunal, was set up in July 2002 to try individuals accused of crimes against humanity -- genocide, war crimes and other human rights abuses.",0.7550996899202773,0.6444444444444445,0.8753416027591902,0.1246583972408099,0.8,0.2
142,1,Eight British navy personnel are being held in Iran.,British and Iranian officials resumed discussions Thursday on the release of eight British navy personnel held in Iran earlier this week.,0.6077403212518624,0.6444444444444445,0.7738217206879923,0.2261782793120076,0.8,0.2
164,1,33 million customers pay to use AOL.,AOL has more than 33 million paying customers.,0.7643902215392941,0.8,0.8805494968531288,0.1194505031468712,0.9,0.1
166,1,Shell is an oil giant.,The controversy-racked oil giant Shell has named a new head of finance in an effort to calm nervous shareholders.,0.8593263604398206,0.8,0.9328275871816228,0.06717241281837714,0.9,0.1
174,1,Some of the gunmen showed loyalty to Zarqawi&apos;s group.,"However, witnesses said some of the black-clad gunmen who attacked a police station and government buildings in Baquba, 60 km (40 miles) northwest of Baghdad, proclaimed loyalty to Zarqawi and wore yellow headbands linking them to his group.",1.0,1.0,1.0,0.0,1.0,0.0
185,0,Napster illegally offers music downloads.,"Napster, which started as an unauthorized song-swapping Web site, has transformed into a legal service offering music downloads for a monthly fee.",0.5627090932285856,0.4666666666666667,0.2652505269416288,0.7347494730583711,0.4,0.6
186,1,Napster began as an illegal Web site.,"Napster, which started as an unauthorized song-swapping Web site, has transformed into a legal service offering music downloads for a monthly fee.",0.4416179462921379,0.4444444444444444,0.49956739040289405,0.5004326095971058,0.5,0.5
219,1,Wi-LAN sues Cisco.,"Canadian wireless technology licensing company Wi-LAN has begun legal action against Cisco, alleging the networking giant&apos;s Linksys and Aironet products are making use of its intellectual property without permission.",0.6041728306059585,0.6444444444444445,0.7710836126930553,0.22891638730694472,0.8,0.2
236,1,Yasir Arafat nominated a loyalist as interior minister.,Yasir Arafat has agreed to appoint a longtime loyalist as interior minister to take charge of the country&apos;s security.,0.553933368284698,0.5333333333333333,0.7249995586820672,0.2750004413179328,0.7,0.3
246,1,Prenatal drinking can be connected to disorders in babies.,"Every year 40,000 babies are born with disorders related to prenatal drinking.",1.0,1.0,1.0,0.0,1.0,0.0
261,1,Commission on Teacher Credentialing offers non-bilingual teachers credentials to work with non-English speaking students.,Teachers are earning credentials from Commission on Teacher Credentialing that allow them to instruct non-English speakers without being fully bilingual.,0.8604085795534205,0.8,0.9333634241900229,0.06663657580997692,0.9,0.1
263,1,"Magic Scent crayons smell good, but if eaten, may be dangerous.","Crayola&apos;s new Magic Scent crayons emit food aromas such as coconut, chocolate and cherry when rubbed on paper. They&apos;re non-toxic, but because of the aromas children may try to eat the crayons, posing a danger of choking.",0.534647829561888,0.5333333333333333,0.7064371067655084,0.2935628932344916,0.7,0.3
264,1,An embargo was imposed on Iraq in 1990.,Iraq has been under a stringent economic embargo since its August 1990 invasion of Kuwait and relief workers are increasingly concerned about the health of its population.,1.0,1.0,1.0,0.0,1.0,0.0
266,1,"France, Russia and China want to put an end to sanctions against Iraq.","Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq.",0.6565796463990292,0.6444444444444445,0.8112339052472424,0.18876609475275766,0.8,0.2
272,1,Aristide is going back to Haiti after being exiled for years.,"In his three years in exile in Washington, Aristide has been protected by the Secret Service 24 hours a day. And during his last week in exile, amid frenzied preparations for his return to Haiti, Aristide took time out to thank the Americans who helped his Administration.",0.8308798962529264,0.8,0.9179714213032821,0.0820285786967177,0.9,0.1
276,1,"Aristide speaks Italian, Greek, Hebrew and English.","Aristide was educated in the Vatican, and therefore he&apos;s more fluent in Italian, Greek and Hebrew than English",0.5842060603331598,0.6444444444444445,0.7537356097395874,0.2462643902604126,0.8,0.2
277,1,U.N. has imposed sanctions against Haiti.,A conference on Haiti was called by Aristide in hopes of rallying world support for tightening a U.N.-ordered oil and arms embargo designed to punish the Haitian military.,0.4983513815168729,0.5333333333333333,0.6630103467580705,0.3369896532419295,0.7,0.3
278,1,Haitian military is not allowed to leave Haiti.,"The council has prohibited any travel outside of Haiti by all officers of the Haitian military and police and all major participants in the September, 1991, coup.",0.8349689331940211,0.8,0.9200309562169444,0.07996904378305561,0.9,0.1
281,1,In 1984 the Olympic games were held in Sarajevo.,"Juan Antonio Samaranch, president of the International Olympic Committee, left Lillehammer for Sarajevo to pay tribute to the besieged host city of the 1984 Winter Games",0.8308798962529264,0.8,0.9179714213032821,0.0820285786967177,0.9,0.1
283,1,In the Lillehammer Olympic Games there are as many participating countries as in Albertville in 1992.,"The Lillehammer Olympic Games organizing committee said 65 countries have entered, matching the number of nations at the 1992 Winter Games in Albertville, France.",0.5264952256819684,0.5333333333333333,0.695610503563379,0.30438949643662105,0.7,0.3
285,1,The G8 summit took place on an American island.,Security preparations kept protestors at bay at the recent G8 Summit on Sea Island (USA).,0.4799706538697273,0.4666666666666667,0.6347308118398742,0.3652691881601257,0.6,0.4
287,1,"Canada, France, Germany, Italy, Japan, Russia, United Kingdom and European Union participated in the G8 summit.","The G8 summit, held June 8-10, brought together leaders of the world&apos;s major industrial democracies, including Canada, France, Germany, Italy, Japan, Russia, United Kingdom, European Union and United States.",1.0,1.0,1.0,0.0,1.0,0.0
291,1,More than $150 million will be probably spent for security at next year&apos;s G8 summit.,"The cost of security when world leaders gather near Auchterarder for next year&apos;s G8 summit, is expected to top $150 million.",0.8298403784769399,0.8,0.9173672993212668,0.08263270067873309,0.9,0.1
293,1,Two-thirds of the Scottish police force will be deployed at the happening.,"An estimated 10,000 of Scotland&apos;s 15,000-strong police force is set to be deployed during the three-day event.",0.8254478349663522,0.8,0.9149981590528454,0.0850018409471546,0.9,0.1
