unit,duration,input.b1,input.b2,input.e1,input.e2,input.input_relations,input.sent_id,input.sentence,input.term1,input.term2,job,output.output_relations,output.output_relations.annotations,output.output_relations.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial
897534786,140.8,6,3,8,4,employee_or_member_of top_member_employee_of_org schools_attended founded_org origin alternate_names place_of_birth place_of_death subsidiaries places_of_residence place_of_headquarters spouse children title,UAD-A-1535,"On Wednesday , Lyon led through Karim Benzema 's 26th goal of the season in the 55th minute , but Carlos Tevez leveled in the 87th .",Karim Benzema,Lyon,../data/relex-sparse-multiple-choice,"Counter({'employee_or_member_of': 7, 'none': 5, 'top_member_employee_of_org': 2, 'place_of_death': 1, 'subsidiaries': 1, 'origin': 0, 'spouse': 0, 'title': 0, 'charges': 0, 'place_of_headquarters': 0, 'alternate_names': 0, 'cause_of_death': 0, 'places_of_residence': 0, 'place_of_birth': 0, 'schools_attended': 0, 'children': 0, 'founded_org': 0})",16,5,15,0.33898215544,"Counter({'employee_or_member_of': 0.5894375981525516, 'none': 0.28465318851496224, 'top_member_employee_of_org': 0.172466335287786, 'place_of_death': 0.03867217652425787, 'subsidiaries': 0.02229288399294781, 'origin': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'cause_of_death': 0.0, 'children': 0.0, 'place_of_birth': 0.0, 'schools_attended': 0.0, 'places_of_residence': 0.0, 'spouse': 0.0, 'founded_org': 0.0})",0.285235690174,"Counter({'employee_or_member_of': 0.4666666666666667, 'none': 0.3333333333333333, 'top_member_employee_of_org': 0.13333333333333333, 'subsidiaries': 0.06666666666666667, 'place_of_death': 0.06666666666666667, 'origin': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'cause_of_death': 0.0, 'children': 0.0, 'place_of_birth': 0.0, 'schools_attended': 0.0, 'places_of_residence': 0.0, 'spouse': 0.0, 'founded_org': 0.0})"
897534787,48.5333333333,23,30,25,32,top_member_employee_of_org employee_or_member_of founded_org alternate_names places_of_residence subsidiaries schools_attended place_of_headquarters cause_of_death place_of_death title spouse charges,UAD-A-2322,"`` We have all this library content , and we 've been surprised at how much interest there is in it , `` Jeff Zucker , the chief executive of NBC Universal , said recently .",Jeff Zucker,NBC Universal,../data/relex-sparse-multiple-choice,"Counter({'top_member_employee_of_org': 15, 'employee_or_member_of': 4, 'origin': 0, 'cause_of_death': 0, 'subsidiaries': 0, 'title': 0, 'charges': 0, 'place_of_headquarters': 0, 'alternate_names': 0, 'none': 0, 'places_of_residence': 0, 'place_of_birth': 0, 'schools_attended': 0, 'place_of_death': 0, 'spouse': 0, 'children': 0, 'founded_org': 0})",19,2,15,0.956507834349,"Counter({'top_member_employee_of_org': 1.0, 'employee_or_member_of': 0.2431351110208564, 'origin': 0.0, 'cause_of_death': 0.0, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'none': 0.0, 'children': 0.0, 'place_of_birth': 0.0, 'schools_attended': 0.0, 'places_of_residence': 0.0, 'subsidiaries': 0.0, 'place_of_death': 0.0, 'founded_org': 0.0})",0.877263794021,"Counter({'top_member_employee_of_org': 1.0, 'employee_or_member_of': 0.26666666666666666, 'origin': 0.0, 'cause_of_death': 0.0, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'none': 0.0, 'children': 0.0, 'place_of_birth': 0.0, 'schools_attended': 0.0, 'places_of_residence': 0.0, 'subsidiaries': 0.0, 'place_of_death': 0.0, 'founded_org': 0.0})"
897534788,190.933333333,0,14,2,17,places_of_residence origin subsidiaries cause_of_death place_of_death children founded_org title schools_attended alternate_names charges employee_or_member_of,UAD-A-0024,"Addie Wagenknecht ( born Portland , Oregon ) is an American artist living in New York City .",Addie Wagenknecht,New York City,../data/relex-sparse-multiple-choice,"Counter({'places_of_residence': 15, 'origin': 1, 'cause_of_death': 0, 'subsidiaries': 0, 'title': 0, 'charges': 0, 'place_of_headquarters': 0, 'alternate_names': 0, 'none': 0, 'top_member_employee_of_org': 0, 'place_of_death': 0, 'employee_or_member_of': 0, 'place_of_birth': 0, 'schools_attended': 0, 'spouse': 0, 'children': 0, 'founded_org': 0})",16,2,15,0.98305151477,"Counter({'places_of_residence': 1.0, 'origin': 0.06822409761022287, 'cause_of_death': 0.0, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'none': 0.0, 'top_member_employee_of_org': 0.0, 'children': 0.0, 'employee_or_member_of': 0.0, 'place_of_birth': 0.0, 'schools_attended': 0.0, 'place_of_death': 0.0, 'subsidiaries': 0.0, 'founded_org': 0.0})",0.960947570825,"Counter({'places_of_residence': 1.0, 'origin': 0.06666666666666667, 'cause_of_death': 0.0, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'none': 0.0, 'top_member_employee_of_org': 0.0, 'children': 0.0, 'employee_or_member_of': 0.0, 'place_of_birth': 0.0, 'schools_attended': 0.0, 'place_of_death': 0.0, 'subsidiaries': 0.0, 'founded_org': 0.0})"
897534789,51.8,2,0,4,1,top_member_employee_of_org employee_or_member_of charges cause_of_death place_of_headquarters founded_org place_of_death spouse schools_attended,UAD-A-2211,"Toyota President Katsuaki Watanabe said Thursday that Toyota will speed up delivery of its plug-in hybrid from 2010 to the end of 2009 , while the Volt is due in showrooms in late 2010 .",Katsuaki Watanabe,Toyota,../data/relex-sparse-multiple-choice,"Counter({'top_member_employee_of_org': 13, 'employee_or_member_of': 4, 'cause_of_death': 1, 'charges': 1, 'origin': 0, 'subsidiaries': 0, 'title': 0, 'place_of_headquarters': 0, 'alternate_names': 0, 'none': 0, 'places_of_residence': 0, 'place_of_birth': 0, 'schools_attended': 0, 'place_of_death': 0, 'spouse': 0, 'children': 0, 'founded_org': 0})",19,4,15,0.922168075984,"Counter({'top_member_employee_of_org': 0.9808395326131917, 'employee_or_member_of': 0.2018823879679194, 'charges': 0.06703212763602012, 'cause_of_death': 0.018374463378032776, 'origin': 0.0, 'spouse': 0.0, 'title': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'none': 0.0, 'children': 0.0, 'place_of_birth': 0.0, 'schools_attended': 0.0, 'places_of_residence': 0.0, 'subsidiaries': 0.0, 'place_of_death': 0.0, 'founded_org': 0.0})",0.662287574372,"Counter({'top_member_employee_of_org': 0.8666666666666667, 'employee_or_member_of': 0.26666666666666666, 'cause_of_death': 0.06666666666666667, 'charges': 0.06666666666666667, 'origin': 0.0, 'spouse': 0.0, 'title': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'none': 0.0, 'children': 0.0, 'place_of_birth': 0.0, 'schools_attended': 0.0, 'places_of_residence': 0.0, 'subsidiaries': 0.0, 'place_of_death': 0.0, 'founded_org': 0.0})"
897534790,128.6,0,23,2,26,places_of_residence place_of_birth origin top_member_employee_of_org schools_attended,UAD-A-0115,"Andrea Bargnani , nicknamed `` Il Mago '' ( translated to `` The Magician '' ) , ( born October 26 1985 in Rome , Italy ) is an Italian professional basketball player with the Toronto Raptors of the National Basketball Association .",Andrea Bargnani,"Rome , Italy",../data/relex-sparse-multiple-choice,"Counter({'place_of_birth': 11, 'origin': 6, 'places_of_residence': 4, 'cause_of_death': 0, 'subsidiaries': 0, 'title': 0, 'charges': 0, 'place_of_headquarters': 0, 'alternate_names': 0, 'none': 0, 'top_member_employee_of_org': 0, 'place_of_death': 0, 'employee_or_member_of': 0, 'schools_attended': 0, 'spouse': 0, 'children': 0, 'founded_org': 0})",21,3,15,0.62573622227,"Counter({'place_of_birth': 0.8287965930855661, 'origin': 0.3687888296770083, 'places_of_residence': 0.17334899515062874, 'cause_of_death': 0.0, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'none': 0.0, 'top_member_employee_of_org': 0.0, 'children': 0.0, 'employee_or_member_of': 0.0, 'schools_attended': 0.0, 'place_of_death': 0.0, 'subsidiaries': 0.0, 'founded_org': 0.0})",0.516148707688,"Counter({'place_of_birth': 0.7333333333333333, 'origin': 0.4, 'places_of_residence': 0.26666666666666666, 'cause_of_death': 0.0, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'none': 0.0, 'top_member_employee_of_org': 0.0, 'children': 0.0, 'employee_or_member_of': 0.0, 'schools_attended': 0.0, 'place_of_death': 0.0, 'subsidiaries': 0.0, 'founded_org': 0.0})"
897534791,84.0,21,10,23,13,places_of_residence place_of_birth origin top_member_employee_of_org subsidiaries cause_of_death place_of_death alternate_names children founded_org charges employee_or_member_of spouse title,UAD-A-0543,"David Martin Blake ( born January 18 , 1970 in Compton , California ) , better known by his stage name DJ Quik , is a rapper and record producer from Compton , California .",DJ Quik,"Compton , California",../data/relex-sparse-multiple-choice,"Counter({'place_of_birth': 10, 'places_of_residence': 6, 'origin': 5, 'cause_of_death': 0, 'subsidiaries': 0, 'title': 0, 'charges': 0, 'place_of_headquarters': 0, 'alternate_names': 0, 'none': 0, 'top_member_employee_of_org': 0, 'place_of_death': 0, 'employee_or_member_of': 0, 'schools_attended': 0, 'spouse': 0, 'children': 0, 'founded_org': 0})",21,3,15,0.542381827052,"Counter({'place_of_birth': 0.7073059403201274, 'places_of_residence': 0.5256156364447291, 'origin': 0.3368397757105235, 'cause_of_death': 0.0, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'none': 0.0, 'top_member_employee_of_org': 0.0, 'children': 0.0, 'employee_or_member_of': 0.0, 'schools_attended': 0.0, 'place_of_death': 0.0, 'subsidiaries': 0.0, 'founded_org': 0.0})",0.472953146679,"Counter({'place_of_birth': 0.6666666666666666, 'places_of_residence': 0.4, 'origin': 0.3333333333333333, 'cause_of_death': 0.0, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'alternate_names': 0.0, 'none': 0.0, 'top_member_employee_of_org': 0.0, 'children': 0.0, 'employee_or_member_of': 0.0, 'schools_attended': 0.0, 'place_of_death': 0.0, 'subsidiaries': 0.0, 'founded_org': 0.0})"
897534792,49.2666666667,0,4,3,6,places_of_residence origin employee_or_member_of alternate_names place_of_headquarters subsidiaries founded_org top_member_employee_of_org charges place_of_birth children,UAD-A-0454,"Charles B. Rangel of New York , chairman of the House Ways and Means Committee , the bill would also overhaul corporate taxes by eliminating many major tax breaks and lowering overall tax rates .",Charles B. Rangel,New York,../data/relex-sparse-multiple-choice,"Counter({'places_of_residence': 11, 'origin': 4, 'employee_or_member_of': 2, 'charges': 1, 'place_of_headquarters': 1, 'alternate_names': 1, 'top_member_employee_of_org': 1, 'place_of_birth': 1, 'subsidiaries': 1, 'founded_org': 1, 'cause_of_death': 0, 'spouse': 0, 'title': 0, 'none': 0, 'place_of_death': 0, 'schools_attended': 0, 'children': 0})",24,10,15,0.723502898085,"Counter({'places_of_residence': 0.8627557457482196, 'origin': 0.13724425425178044, 'employee_or_member_of': 0.07180017530536686, 'subsidiaries': 0.004714031783533444, 'charges': 0.004714031783533444, 'place_of_headquarters': 0.004714031783533444, 'alternate_names': 0.004714031783533444, 'top_member_employee_of_org': 0.004714031783533444, 'place_of_birth': 0.004714031783533444, 'founded_org': 0.004714031783533444, 'cause_of_death': 0.0, 'title': 0.0, 'none': 0.0, 'children': 0.0, 'schools_attended': 0.0, 'place_of_death': 0.0, 'spouse': 0.0})",0.493670148109,"Counter({'places_of_residence': 0.7333333333333333, 'origin': 0.26666666666666666, 'employee_or_member_of': 0.13333333333333333, 'subsidiaries': 0.06666666666666667, 'charges': 0.06666666666666667, 'place_of_headquarters': 0.06666666666666667, 'alternate_names': 0.06666666666666667, 'top_member_employee_of_org': 0.06666666666666667, 'place_of_birth': 0.06666666666666667, 'founded_org': 0.06666666666666667, 'cause_of_death': 0.0, 'title': 0.0, 'none': 0.0, 'children': 0.0, 'schools_attended': 0.0, 'place_of_death': 0.0, 'spouse': 0.0})"
897534793,73.2,8,16,11,17,alternate_names place_of_headquarters subsidiaries employee_or_member_of founded_org top_member_employee_of_org places_of_residence place_of_birth place_of_death origin title charges schools_attended children cause_of_death spouse,UAD-A-0196,"A teary Florida judge said Friday he wanted Anna Nicole Smith to be buried in the Bahamas , ending two weeks of bizarre wranglings over the remains of the former Playboy model and billionaire 's widow .",Anna Nicole Smith,Bahamas,../data/relex-sparse-multiple-choice,"Counter({'none': 12, 'place_of_death': 3, 'origin': 1, 'place_of_headquarters': 1, 'alternate_names': 1, 'top_member_employee_of_org': 1, 'employee_or_member_of': 1, 'place_of_birth': 1, 'places_of_residence': 1, 'subsidiaries': 1, 'founded_org': 1, 'spouse': 0, 'title': 0, 'charges': 0, 'cause_of_death': 0, 'children': 0, 'schools_attended': 0})",24,11,15,0.949109664941,"Counter({'none': 0.9762783019769128, 'place_of_death': 0.02372169802308736, 'origin': 0.00423979229263423, 'subsidiaries': 0.00423979229263423, 'place_of_headquarters': 0.00423979229263423, 'alternate_names': 0.00423979229263423, 'top_member_employee_of_org': 0.00423979229263423, 'employee_or_member_of': 0.00423979229263423, 'place_of_birth': 0.00423979229263423, 'places_of_residence': 0.00423979229263423, 'founded_org': 0.00423979229263423, 'title': 0.0, 'charges': 0.0, 'cause_of_death': 0.0, 'schools_attended': 0.0, 'spouse': 0.0, 'children': 0.0})",0.644118624115,"Counter({'none': 0.8, 'place_of_death': 0.2, 'origin': 0.06666666666666667, 'subsidiaries': 0.06666666666666667, 'place_of_headquarters': 0.06666666666666667, 'alternate_names': 0.06666666666666667, 'top_member_employee_of_org': 0.06666666666666667, 'employee_or_member_of': 0.06666666666666667, 'place_of_birth': 0.06666666666666667, 'places_of_residence': 0.06666666666666667, 'founded_org': 0.06666666666666667, 'title': 0.0, 'charges': 0.0, 'cause_of_death': 0.0, 'schools_attended': 0.0, 'spouse': 0.0, 'children': 0.0})"
897534794,75.2666666667,1,34,3,35,place_of_birth employee_or_member_of top_member_employee_of_org places_of_residence place_of_headquarters origin subsidiaries place_of_death charges title spouse cause_of_death,UAD-A-0951,"If Barack Obama wins the White House in November , we may well look back on this week as the turning point when he started to ease lingering doubts about his readiness to lead America .",Barack Obama,America,../data/relex-sparse-multiple-choice,"Counter({'top_member_employee_of_org': 8, 'employee_or_member_of': 4, 'place_of_headquarters': 3, 'place_of_birth': 3, 'places_of_residence': 3, 'origin': 1, 'none': 1, 'subsidiaries': 0, 'title': 0, 'charges': 0, 'alternate_names': 0, 'cause_of_death': 0, 'place_of_death': 0, 'schools_attended': 0, 'spouse': 0, 'children': 0, 'founded_org': 0})",23,7,15,0.315843505693,"Counter({'top_member_employee_of_org': 0.5886039878082874, 'place_of_headquarters': 0.22996502524995618, 'place_of_birth': 0.2281446609040075, 'places_of_residence': 0.2135557126403211, 'employee_or_member_of': 0.20762995273880466, 'origin': 0.08123065348166644, 'none': 0.05271673835547168, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'alternate_names': 0.0, 'cause_of_death': 0.0, 'children': 0.0, 'schools_attended': 0.0, 'place_of_death': 0.0, 'subsidiaries': 0.0, 'founded_org': 0.0})",0.269976640811,"Counter({'top_member_employee_of_org': 0.5333333333333333, 'employee_or_member_of': 0.26666666666666666, 'place_of_headquarters': 0.2, 'place_of_birth': 0.2, 'places_of_residence': 0.2, 'origin': 0.06666666666666667, 'none': 0.06666666666666667, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'alternate_names': 0.0, 'cause_of_death': 0.0, 'children': 0.0, 'schools_attended': 0.0, 'place_of_death': 0.0, 'subsidiaries': 0.0, 'founded_org': 0.0})"
897534795,45.4,0,11,2,15,top_member_employee_of_org,UAD-A-1875,"Steven Chu , a Nobel Laureate in physics who heads the Lawrence Berkeley National Laboratory , and Dan Reicher , a former assistant energy secretary in the Clinton administration who now directs the Google.org foundation 's energy and climate change initiatives .",Steven Chu,Lawrence Berkeley National Laboratory,../data/relex-sparse-multiple-choice,"Counter({'top_member_employee_of_org': 13, 'employee_or_member_of': 2, 'origin': 1, 'alternate_names': 1, 'place_of_birth': 1, 'schools_attended': 1, 'founded_org': 1, 'cause_of_death': 0, 'subsidiaries': 0, 'title': 0, 'charges': 0, 'place_of_headquarters': 0, 'none': 0, 'places_of_residence': 0, 'place_of_death': 0, 'spouse': 0, 'children': 0})",20,7,15,0.941197184619,"Counter({'top_member_employee_of_org': 0.9992429854957707, 'employee_or_member_of': 0.14459215283658258, 'schools_attended': 0.0907741093326194, 'alternate_names': 0.05664797894242992, 'place_of_birth': 0.05664797894242992, 'origin': 0.0007570145042293197, 'cause_of_death': 0.0, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'none': 0.0, 'children': 0.0, 'places_of_residence': 0.0, 'subsidiaries': 0.0, 'place_of_death': 0.0, 'founded_org': 0.0})",0.620725251432,"Counter({'top_member_employee_of_org': 0.8666666666666667, 'employee_or_member_of': 0.13333333333333333, 'origin': 0.06666666666666667, 'alternate_names': 0.06666666666666667, 'place_of_birth': 0.06666666666666667, 'schools_attended': 0.06666666666666667, 'founded_org': 0.06666666666666667, 'cause_of_death': 0.0, 'spouse': 0.0, 'title': 0.0, 'charges': 0.0, 'place_of_headquarters': 0.0, 'none': 0.0, 'children': 0.0, 'places_of_residence': 0.0, 'subsidiaries': 0.0, 'place_of_death': 0.0})"
