duration,input.b1,input.b2,input.e1,input.e2,input.relation,input.sent_id,input.sentence,input.term1,input.term2,job,metrics.avg_annotations,metrics.avg_cos_clarity,metrics.avg_unique_annotations,output.rellist,output.rellist.annotations,output.rellist.cos_clarity,output.rellist.unique_annotations,worker,uqs,unit_annotation_score,SRS,max_rel,max_srs,none,per:place_of_birth,per:place_of_death,per:places_of_residence
108.866666667,5,0,6,2,per:place_of_birth,d54e43a75bc79db0b466898b6a6d8d9e7be7ae317e0398e655426166c90c6320:0-2:5-6,"Keshia Chanté was born in Ottawa , Ontario on June 16 , 1988 .",Keshia Chanté,Ottawa,,19,0.8421519211,4,"Counter({'per:place_of_birth': 10, 'per:places_of_residence': 6, 'none': 2, 'per:place_of_death': 1})",19,0.8421519211,4,15,0.4825446222,"Counter({'per:place_of_birth': 0.6876304387413391, 'per:places_of_residence': 0.393588091624099, 'none': 0.11706268088192646, 'per:place_of_death': 0.07939342139842918})","{'per:place_of_birth': 0.6876304387413391, 'per:places_of_residence': 0.393588091624099, 'none': 0.11706268088192646, 'per:place_of_death': 0.07939342139842918}",per:place_of_birth,0.6876304387,0.1170626809,0.6876304387,0.0793934214,0.3935880916
66.2666666667,27,9,28,11,per:places_of_residence,c8a85c4c7dd9b752e27aa1de5675fa9f7b3eb569a68a9bc03c1bf987e3ab3c86:9-11:27-28,Thursday 's vote comes a day after Prime Minister Robert Fico 's coalition pushed new media legislation through Parliament that critics say will limit press freedoms in Slovakia .,Robert Fico,Slovakia,,16,0.7844645406,3,"Counter({'none': 8, 'per:places_of_residence': 6, 'per:place_of_birth': 2, 'per:place_of_death': 0})",16,0.7844645406,3,15,0.4571279825,"Counter({'none': 0.5865243313604279, 'per:places_of_residence': 0.41301940256240316, 'per:place_of_birth': 0.06897818249103331, 'per:place_of_death': 0.0})","{'per:place_of_birth': 0.06897818249103331, 'per:places_of_residence': 0.41301940256240316, 'none': 0.5865243313604279}",none,0.5865243314,0.5865243314,0.0689781825,0,0.4130194026
79.1333333333,5,0,9,2,per:founded_org,ea3ac4bbf99dd61d8114199bf536cf8e63904358a4cfede90b20ef6bd5b1e6a8:5-9:0-2,"Alfred Harvey 's company , Harvey World Famous Comics , produced comic books and cartoons featuring Wendy the Good Little Witch , Spooky the Tuff Little Ghost , Casper the Friendly Ghost , Baby Huey , Little Audrey , and Little Dot .",Alfred Harvey,Harvey World Famous Comics,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
25.4666666667,13,0,14,2,per:place_of_death,365fd765dcb8f30d894e5d974b957cdf04fd609ae2de1bffcdbbfca854b461c4:0-2:13-14,"Chase Tatum , 34 , was found dead Sunday in his home in Atlanta , his father , Roy , told The Atlanta Journal-Constitution .",Chase Tatum,Atlanta,,23,0.8823529412,2,"Counter({'per:place_of_death': 15, 'per:places_of_residence': 8, 'per:place_of_birth': 0, 'none': 0})",23,0.8823529412,2,15,0.8785256353,"Counter({'per:place_of_death': 1.0, 'per:places_of_residence': 0.5387467462991629, 'per:place_of_birth': 0.0, 'none': 0.0})","{'per:places_of_residence': 0.5387467462991629, 'per:place_of_death': 1.0}",per:place_of_death,1,0,0,1,0.5387467463
49.8,4,10,5,15,org:place_of_headquarters,bb38c2864354213e181021a2dd5d02fd8ff6d8629617117ab048d4cf1ea4cd96:10-15:4-5,"Public bus service in Lehigh Valley is available through the Lehigh and Northampton Transportation Authority , known as LANTA .",Lehigh and Northampton Transportation Authority,Lehigh,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
77.2,26,0,27,2,per:place_of_birth,a53ddf3d956fa051ff6aa605406edec882446e71ae7a1556a9dd3ba17f214a59:0-2:26-27,"Morarji Desai was selected by the Janata alliance , later Janata Party as their parliamentary leader , and thus became the first non-Congress Prime Minister of India .",Morarji Desai,India,,15,0.9883716977,2,"Counter({'none': 13, 'per:places_of_residence': 2, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,0.9883716977,2,15,0.7498803738,"Counter({'none': 0.8652192505912375, 'per:places_of_residence': 0.13478074940876253, 'per:place_of_birth': 0.0, 'per:place_of_death': 0.0})","{'none': 0.8652192505912375, 'per:places_of_residence': 0.13478074940876253}",none,0.8652192506,0.8652192506,0,0,0.1347807494
119.333333333,0,25,2,26,org:subsidiaries,abc58d79ea70b4b3e611ce1e56f26678359c3616a84e5e87e8a37b28c9fc2916:0-2:25-26,"General Motors Co. says its sales in China climbed 11 percent in November from a year earlier , on strong demand for its Buick and Chevrolet models .",Chevrolet,General Motors,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
49.4666666667,14,11,17,13,org:subsidiaries,76210fa27cb314860f3375669acd89af580aa9e2e65739c9e7bfa57079064155:14-17:11-13,"He later earned a master 's degree and a Licentiate of Canon Law at Saint Paul University , Ottawa .",Canon Law,Saint Paul University,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
88.2666666667,19,24,21,27,per:employee_or_member_of,2210e54c502fedcebe2756226b318cb57edd413f2859a361c874e239e8d40b57:24-27:19-21,He is also a guitarist and vocalist for the punk rock band Pinhead Gunpowder and provides lead vocals for Green Day 's side projects Foxboro Hot Tubs and The Network .,Foxboro Hot Tubs,Green Day,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
70.8666666667,12,0,14,1,per:place_of_death,cbae0a9c9f7b6235bc39c5521b933bea12c4785fb63b440fcb6c20ef54ccd708:0-1:12-14,"Adams died on September 25 , 2005 at Cedars-Sinai Medical Center in Los Angeles , California .",Adams,Los Angeles,,17,0.9912279007,2,"Counter({'per:place_of_death': 15, 'per:places_of_residence': 2, 'per:place_of_birth': 0, 'none': 0})",17,0.9912279007,2,15,0.9468079294,"Counter({'per:place_of_death': 1.0, 'per:places_of_residence': 0.12424647716394858, 'per:place_of_birth': 0.0, 'none': 0.0})","{'per:places_of_residence': 0.12424647716394858, 'per:place_of_death': 1.0}",per:place_of_death,1,0,0,1,0.1242464772
118.666666667,15,7,19,8,org:subsidiaries,c3a6f941b22445387479bd53f14f12222bdc18ecb98fc39aa02f820ebbeeedcc:15-19:7-8,"The Punjab Institute of Computer Science ( PICS ) is a computer college of the University of Central Punjab , located in Gulberg , Lahore , Pakistan .",PICS,University of Central Punjab,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
